rank,channel_info,influence_score,posts,followers,avg_likes,60_day_eng_rate,new_post_avg_like,total_likes,country,60_day_eng_rate_percent,influence_score_percent,avg_likes_per_post_calc
119,zayn,82.0,0.0,0.0,0.0,0.0,0.0,0.0,United States,0.0,82.0,
120,larissamanoela,85.0,0.0,0.0,0.0,0.0,0.0,0.0,Brazil,0.0,85.0,
121,travisscott,78.0,0.0,0.0,0.0,0.0,0.0,0.0,United States,0.0,78.0,
122,thenotoriousmma,82.0,0.0,0.0,0.0,0.0,0.0,0.0,United States,0.0,82.0,
123,daddyyankee,80.0,0.0,0.0,0.0,0.0,0.0,0.0,Puerto Rico,0.0,80.0,
124,natgeotravel,82.0,0.0,0.0,0.0,0.0,0.0,0.0,United States,0.0,82.0,
125,nikefootball,85.0,0.0,0.0,0.0,0.0,0.0,0.0,United States,0.0,85.0,
126,stephencurry30,84.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown,0.0,84.0,
127,vancityreynolds,86.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown,0.0,86.0,
128,maisa,42.0,0.0,0.0,0.0,0.0,0.0,0.0,Brazil,0.0,42.0,
129,luissuarez9,85.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown,0.0,85.0,
130,gusttavolima,76.0,0.0,0.0,0.0,0.0,0.0,0.0,Brazil,0.0,76.0,
131,jannatzubair29,84.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown,0.0,84.0,
132,varundvn,84.0,0.0,0.0,0.0,0.0,0.0,0.0,India,0.0,84.0,
133,hrithikroshan,85.0,0.0,0.0,0.0,0.0,0.0,0.0,C̫te d'Ivoire,0.0,85.0,
134,nickyjampr,81.0,0.0,0.0,0.0,0.0,0.0,0.0,Colombia,0.0,81.0,
135,buzzfeedtasty,85.0,0.0,0.0,0.0,0.0,0.0,0.0,Spain,0.0,85.0,
136,brunamarquezine,84.0,0.0,0.0,0.0,0.0,0.0,0.0,United States,0.0,84.0,
137,caradelevingne,86.0,0.0,0.0,0.0,0.0,0.0,0.0,United States,0.0,86.0,
